ID|Aktywny (0 lub 1)|Nazwa|Kategorie (x,y,z...)|Cena bez podatku. (netto)|Cena zawiera podatek. (brutto)|ID reguły podatku|Koszt własny|W sprzedaży (0 lub 1)|Wartość rabatu|Procent rabatu|Rabat od dnia (rrrr-mm-dd)|Rabat do dnia (rrrr-mm-dd)|Indeks #|Kod dostawcy|Dostawca|Marka|kod EAN13|Kod kreskowy UPC|MPN|Podatek ekologiczny|Szerokość|Wysokość|Głębokość|Waga|Czas dostawy produktów dostępnych w magazynie:|Czas dostawy wyprzedanych produktów z możliwością rezerwacji:|Ilość|Minimalna ilość|Niski poziom produktów w magazynie|Wyślij do mnie e-mail, gdy ilość jest poniżej tego poziomu|Widoczność|Dodatkowe koszty przesyłki|Jednostka dla ceny za jednostkę|Cena za jednostkę|Podsumowanie|Opis|Tagi (x,y,z...)|Meta-tytuł|Słowa kluczowe meta|Opis meta|Przepisany URL|Etykieta, gdy w magazynie|Etykieta kiedy dozwolone ponowne zamówienie|Dostępne do zamówienia (0 = Nie, 1 = Tak)|Data dostępności produktu|Data wytworzenia produktu|Pokaż cenę (0 = Nie, 1 = Tak)|Adresy URL zdjęcia (x,y,z...)|Tekst alternatywny dla zdjęć (x,y,z...)|Usuń istniejące zdjęcia (0 = Nie, 1 = Tak)|Cecha(Nazwa:Wartość:Pozycja:Indywidualne)|Dostępne tylko online (0 = Nie, 1 = Tak)|Stan:|Konfigurowalny (0 = Nie, 1 = Tak)|Można wgrywać pliki (0 = Nie, 1 = Tak)|Pola tekstowe (0 = Nie, 1 = Tak)|Akcja kiedy brak na stanie|Wirtualny produkt (0 = No, 1 = Yes)|Adres URL pliku|Ilość dozwolonych pobrań|Data wygaśnięcia (rrrr-mm-dd)|Liczba dni|ID / Nazwa sklepu|Zaawansowane zarządzanie magazynem|Zależny od stanu magazynowego|Magazyn|Akcesoria (x,y,z...)
|1|Kosiarka spalinowa Lider DK51P150BW 2.7kW 150cm3|Kosiarki, traktorki, roboty koszące$Kosiarki spalinowe|||||||||||||||||||||||||||||||||||||||||||||https://localhost/img/p/1/pilarka-spalinowa-gardenx-yd-kw-25-0-9kw-25-4cm3,large.jpg|||||||||||||||||||
|1|Kosiarka spalinowa NAC LS46-144-HS-SE 2.1kW 144cm3|Kosiarki, traktorki, roboty koszące$Kosiarki spalinowe|||||||||||||||||||||||||||||||||||||||||||||https://localhost/img/p/1/pilarka-spalinowa-gardenx-yd-kw-25-0-9kw-25-4cm3,large.jpg|||||||||||||||||||
|1|Kosiarka spalinowa Alpina AL551SHQ 3.3kW 167cm3|Kosiarki, traktorki, roboty koszące$Kosiarki spalinowe|||||||||||||||||||||||||||||||||||||||||||||https://localhost/img/p/1/pilarka-spalinowa-gardenx-yd-kw-25-0-9kw-25-4cm3,large.jpg|||||||||||||||||||
|1|Kosiarka spalinowa NAC LS51-750-HSD-SE 2.7kW 161cm3|Kosiarki, traktorki, roboty koszące$Kosiarki spalinowe|||||||||||||||||||||||||||||||||||||||||||||https://localhost/img/p/1/pilarka-spalinowa-gardenx-yd-kw-25-0-9kw-25-4cm3,large.jpg|||||||||||||||||||
|1|Traktorek kosiarka spalinowa Alpina BT 84X 5.8kW 352cm3|Kosiarki, traktorki, roboty koszące$Traktorki ogrodowe|||||||||||||||||||||||||||||||||||||||||||||https://localhost/img/p/1/pilarka-spalinowa-gardenx-yd-kw-25-0-9kw-25-4cm3,large.jpg|||||||||||||||||||
|1|Traktorek kosiarka spalinowa Alpina AT3 98 A 6.5kW 352cm3|Kosiarki, traktorki, roboty koszące$Traktorki ogrodowe|||||||||||||||||||||||||||||||||||||||||||||https://localhost/img/p/1/pilarka-spalinowa-gardenx-yd-kw-25-0-9kw-25-4cm3,large.jpg|||||||||||||||||||
|1|Traktorek kosiarka akumulatorowa Alpina AT4 84 Electric 3kW|Kosiarki, traktorki, roboty koszące$Traktorki ogrodowe|||||||||||||||||||||||||||||||||||||||||||||https://localhost/img/p/1/pilarka-spalinowa-gardenx-yd-kw-25-0-9kw-25-4cm3,large.jpg|||||||||||||||||||
|1|Traktorek kosiarka spalinowa Alpina AT484 AST350 5.8kW 352cm3|Kosiarki, traktorki, roboty koszące$Traktorki ogrodowe|||||||||||||||||||||||||||||||||||||||||||||https://localhost/img/p/1/pilarka-spalinowa-gardenx-yd-kw-25-0-9kw-25-4cm3,large.jpg|||||||||||||||||||
|1|Traktorek kosiarka spalinowa Alpina AT484 HA ST400 6.3kW 414cm3|Kosiarki, traktorki, roboty koszące$Traktorki ogrodowe|||||||||||||||||||||||||||||||||||||||||||||https://localhost/img/p/1/pilarka-spalinowa-gardenx-yd-kw-25-0-9kw-25-4cm3,large.jpg|||||||||||||||||||
|1|Robot koszący Gardenx H750 750m2 29V 2.2Ah|Kosiarki, traktorki, roboty koszące$Roboty koszące|||||||||||||||||||||||||||||||||||||||||||||https://localhost/img/p/1/pilarka-spalinowa-gardenx-yd-kw-25-0-9kw-25-4cm3,large.jpg|||||||||||||||||||
